"","2x4 Brick","2x3 Brick","2x2 Brick","1x2 Brick","1x2 Brick w/Hole","2x2 Round Brick","2x2 Round Brick B","1x4 Arch Brick","2x2 Corner Plate","2x4 Plate","2x3 Plate","2x2 Plate","1x2 Plate","2x8 Plate","1x3 Plate","1x4 Plate","1x2 Jumper Plate","2x16 Plate","Boat Wedge 4x4","1x3 Slope 45","1x2 Slope 45","2x3 Slope printed","2x2 Inv Slope","2x2 Round Cone","1x3 Slope","Torso Padme","Torso Pit Droid","Tile 1x1 w/Clip","2x2 Tile w/Clip","Bar w/Light Cover","Bar Holder w/Clip","1x1 Plate w/Clip","Flag 2x2","Flag 1x2","1x1 Round Plate","Hose Nozzle","Minifig Jetpack","Minifig Camera","Technic Pin","Technic Connector","Technic Half Bush","Panel 1x2x1","4x4 Half Arch","Panel 1x1x3","Radiator Grille 1x2","SNOT Brick 1x1"
"2x4 Brick",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2x3 Brick",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2x2 Brick",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1x2 Brick",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1x2 Brick w/Hole",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2x2 Round Brick",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"2x2 Round Brick B",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1x4 Arch Brick",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2x2 Corner Plate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2x4 Plate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2x3 Plate",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
