"Part_A","Part_B","Cat_A","Cat_B"
"Panel 1x2x1","2x2 Round Brick","special","brick"
"Panel 1x1x3","2x2 Round Brick","special","brick"
"Radiator Grille 1x2","2x4 Plate","snot","plate"
"Radiator Grille 1x2","2x3 Plate","snot","plate"
"Radiator Grille 1x2","2x2 Plate","snot","plate"
"Bar w/Light Cover","1x2 Slope 45","bar","slope"
"Bar Holder w/Clip","1x2 Slope 45","bar","slope"
"1x1 Round Plate","1x2 Slope 45","tile","slope"
"1x1 Plate w/Clip","2x3 Slope printed","bar","slope"
"Technic Half Bush","2x3 Slope printed","special","slope"
"Torso Padme","2x2 Inv Slope","minifig","slope"
"Torso Pit Droid","2x2 Inv Slope","minifig","slope"
"Bar w/Light Cover","1x3 Slope","bar","slope"
"Bar Holder w/Clip","1x3 Slope","bar","slope"
"1x1 Round Plate","1x3 Slope","tile","slope"
"2x2 Inv Slope","Torso Padme","slope","minifig"
"Torso Pit Droid","Torso Padme","minifig","minifig"
"2x2 Inv Slope","Torso Pit Droid","slope","minifig"
"Torso Padme","Torso Pit Droid","minifig","minifig"
"Panel 1x2x1","Tile 1x1 w/Clip","special","bar"
"1x2 Slope 45","Bar w/Light Cover","slope","bar"
"1x3 Slope","Bar w/Light Cover","slope","bar"
"Bar Holder w/Clip","Bar w/Light Cover","bar","bar"
"1x1 Round Plate","Bar w/Light Cover","tile","bar"
"1x2 Slope 45","Bar Holder w/Clip","slope","bar"
"1x3 Slope","Bar Holder w/Clip","slope","bar"
"Bar w/Light Cover","Bar Holder w/Clip","bar","bar"
"1x1 Round Plate","Bar Holder w/Clip","tile","bar"
"2x3 Slope printed","1x1 Plate w/Clip","slope","bar"
"Technic Half Bush","1x1 Plate w/Clip","special","bar"
"1x2 Slope 45","1x1 Round Plate","slope","tile"
"1x3 Slope","1x1 Round Plate","slope","tile"
"Bar w/Light Cover","1x1 Round Plate","bar","tile"
"Bar Holder w/Clip","1x1 Round Plate","bar","tile"
"2x3 Slope printed","Technic Half Bush","slope","special"
"1x1 Plate w/Clip","Technic Half Bush","bar","special"
"2x2 Round Brick","Panel 1x2x1","brick","special"
"Tile 1x1 w/Clip","Panel 1x2x1","bar","special"
"Panel 1x1x3","Panel 1x2x1","special","special"
"2x2 Round Brick","Panel 1x1x3","brick","special"
"Panel 1x2x1","Panel 1x1x3","special","special"
"2x4 Plate","Radiator Grille 1x2","plate","snot"
"2x3 Plate","Radiator Grille 1x2","plate","snot"
"2x2 Plate","Radiator Grille 1x2","plate","snot"
