"part_A","num_A","fam_A","name_A","part_B","num_B","fam_B","name_B","criterion"
"3832#1","3832","plate","Plate 2 x 10","3020#1","3020","plate","Plate 2 x 4","touch"
"3832#1","3832","plate","Plate 2 x 10","3020#2","3020","plate","Plate 2 x 4","touch"
"3832#1","3832","plate","Plate 2 x 10","3007#1","3007","brick","Brick 2 x 8","stack"
"3832#1","3832","plate","Plate 2 x 10","3298#1","3298","slope","Slope 33° 3 x 2","stack"
"3832#1","3832","plate","Plate 2 x 10","3298#2","3298","slope","Slope 33° 3 x 2","stack"
"3832#1","3832","plate","Plate 2 x 10","3002#2","3002","brick","Brick 2 x 3","stack"
"3020#1","3020","plate","Plate 2 x 4","3298#1","3298","slope","Slope 33° 3 x 2","stack"
"3020#2","3020","plate","Plate 2 x 4","3298#2","3298","slope","Slope 33° 3 x 2","stack"
"3007#1","3007","brick","Brick 2 x 8","3002#1","3002","brick","Brick 2 x 3","touch"
"3007#1","3007","brick","Brick 2 x 8","3002#2","3002","brick","Brick 2 x 3","touch"
"3007#1","3007","brick","Brick 2 x 8","3298#3","3298","slope","Slope 33° 3 x 2","touch"
"3007#1","3007","brick","Brick 2 x 8","3298#4","3298","slope","Slope 33° 3 x 2","touch"
"3007#1","3007","brick","Brick 2 x 8","3003#1","3003","brick","Brick 2 x 2","touch"
"3007#1","3007","brick","Brick 2 x 8","3004#1","3004","brick","Brick 1 x 2","touch"
"3007#1","3007","brick","Brick 2 x 8","3004#2","3004","brick","Brick 1 x 2","touch"
"3007#1","3007","brick","Brick 2 x 8","3298#6","3298","slope","Slope 33° 3 x 2","touch"
"3007#1","3007","brick","Brick 2 x 8","3298#7","3298","slope","Slope 33° 3 x 2","touch"
"3007#1","3007","brick","Brick 2 x 8","3022#3","3022","plate","Plate 2 x 2","touch"
"3007#1","3007","brick","Brick 2 x 8","3003#2","3003","brick","Brick 2 x 2","touch"
"3007#1","3007","brick","Brick 2 x 8","3004#3","3004","brick","Brick 1 x 2","stack"
"3007#1","3007","brick","Brick 2 x 8","3003#3","3003","brick","Brick 2 x 2","stack"
"3007#1","3007","brick","Brick 2 x 8","3003#4","3003","brick","Brick 2 x 2","stack"
"3007#1","3007","brick","Brick 2 x 8","32064c#1","32064c","technic","Technic Brick 1 x 2 with Axle Hole Type 1 [+ Opening] and Bottom Ridges","stack"
"3007#1","3007","brick","Brick 2 x 8","32073#1","32073","technic","Technic Axle 5","stack"
"3007#1","3007","brick","Brick 2 x 8","32064c#2","32064c","technic","Technic Brick 1 x 2 with Axle Hole Type 1 [+ Opening] and Bottom Ridges","stack"
