"","3030#1","3004#1","3004prc#1","3004prc#2","3004#2","3004#3","3010#1","3037#1","3032#1","3010p20b#1","3001#1","3002#1","3002#2","3137c01#1","3137c01#2","3139#1","3139#2","3139#3","3139#4","3024#1","3024#2"
"3030#1",0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0
"3004#1",0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"3004prc#1",1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"3004prc#2",1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"3004#2",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"3004#3",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"3010#1",1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0
"3037#1",1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1
"3032#1",1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1
"3010p20b#1",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"3001#1",1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"3002#1",1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
"3002#2",1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
"3137c01#1",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
"3137c01#2",1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0
"3139#1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"3139#2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"3139#3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"3139#4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"3024#1",0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"3024#2",0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
