"part_A","num_A","fam_A","name_A","part_B","num_B","fam_B","name_B","criterion"
"3030#1","3030","plate","Plate 4 x 10","3004prc#1","3004prc","brick","Brick 1 x 2","stack"
"3030#1","3030","plate","Plate 4 x 10","3004prc#2","3004prc","brick","Brick 1 x 2","stack"
"3030#1","3030","plate","Plate 4 x 10","3010#1","3010","brick","Brick 1 x 4","stack"
"3030#1","3030","plate","Plate 4 x 10","3037#1","3037","slope","Slope 45° 2 x 4","stack"
"3030#1","3030","plate","Plate 4 x 10","3032#1","3032","plate","Plate 4 x 6","stack"
"3030#1","3030","plate","Plate 4 x 10","3001#1","3001","brick","Brick 2 x 4","touch"
"3030#1","3030","plate","Plate 4 x 10","3002#1","3002","brick","Brick 2 x 3","touch"
"3030#1","3030","plate","Plate 4 x 10","3002#2","3002","brick","Brick 2 x 3","touch"
"3030#1","3030","plate","Plate 4 x 10","3137c01#1","3137c01","wheel_holder","Brick Special 2 x 2 [Red Wheels for Single Tyre]","touch"
"3030#1","3030","plate","Plate 4 x 10","3137c01#2","3137c01","wheel_holder","Brick Special 2 x 2 [Red Wheels for Single Tyre]","touch"
"3004#1","3004","brick","Brick 1 x 2","3004#2","3004","brick","Brick 1 x 2","touch"
"3004#1","3004","brick","Brick 1 x 2","3004#3","3004","brick","Brick 1 x 2","touch"
"3004#1","3004","brick","Brick 1 x 2","3032#1","3032","plate","Plate 4 x 6","touch"
"3004#1","3004","brick","Brick 1 x 2","3001#1","3001","brick","Brick 2 x 4","stack"
"3004prc#1","3004prc","brick","Brick 1 x 2","3010#1","3010","brick","Brick 1 x 4","touch"
"3004prc#1","3004prc","brick","Brick 1 x 2","3037#1","3037","slope","Slope 45° 2 x 4","touch"
"3004prc#1","3004prc","brick","Brick 1 x 2","3032#1","3032","plate","Plate 4 x 6","touch"
"3004prc#1","3004prc","brick","Brick 1 x 2","3001#1","3001","brick","Brick 2 x 4","stack"
"3004prc#1","3004prc","brick","Brick 1 x 2","3137c01#2","3137c01","wheel_holder","Brick Special 2 x 2 [Red Wheels for Single Tyre]","stack"
"3004prc#2","3004prc","brick","Brick 1 x 2","3010#1","3010","brick","Brick 1 x 4","touch"
"3004prc#2","3004prc","brick","Brick 1 x 2","3037#1","3037","slope","Slope 45° 2 x 4","touch"
"3004prc#2","3004prc","brick","Brick 1 x 2","3032#1","3032","plate","Plate 4 x 6","touch"
"3004prc#2","3004prc","brick","Brick 1 x 2","3001#1","3001","brick","Brick 2 x 4","stack"
"3004prc#2","3004prc","brick","Brick 1 x 2","3137c01#2","3137c01","wheel_holder","Brick Special 2 x 2 [Red Wheels for Single Tyre]","stack"
"3004#2","3004","brick","Brick 1 x 2","3032#1","3032","plate","Plate 4 x 6","touch"
"3004#2","3004","brick","Brick 1 x 2","3001#1","3001","brick","Brick 2 x 4","stack"
"3004#3","3004","brick","Brick 1 x 2","3032#1","3032","plate","Plate 4 x 6","touch"
"3004#3","3004","brick","Brick 1 x 2","3001#1","3001","brick","Brick 2 x 4","stack"
"3010#1","3010","brick","Brick 1 x 4","3037#1","3037","slope","Slope 45° 2 x 4","touch"
"3010#1","3010","brick","Brick 1 x 4","3032#1","3032","plate","Plate 4 x 6","touch"
"3010#1","3010","brick","Brick 1 x 4","3001#1","3001","brick","Brick 2 x 4","stack"
"3010#1","3010","brick","Brick 1 x 4","3002#1","3002","brick","Brick 2 x 3","stack"
"3010#1","3010","brick","Brick 1 x 4","3002#2","3002","brick","Brick 2 x 3","stack"
"3010#1","3010","brick","Brick 1 x 4","3137c01#2","3137c01","wheel_holder","Brick Special 2 x 2 [Red Wheels for Single Tyre]","stack"
"3037#1","3037","slope","Slope 45° 2 x 4","3032#1","3032","plate","Plate 4 x 6","touch"
"3037#1","3037","slope","Slope 45° 2 x 4","3010p20b#1","3010p20b","brick","Brick 1 x 4","stack"
"3037#1","3037","slope","Slope 45° 2 x 4","3002#1","3002","brick","Brick 2 x 3","stack"
"3037#1","3037","slope","Slope 45° 2 x 4","3002#2","3002","brick","Brick 2 x 3","stack"
"3037#1","3037","slope","Slope 45° 2 x 4","3137c01#1","3137c01","wheel_holder","Brick Special 2 x 2 [Red Wheels for Single Tyre]","stack"
"3037#1","3037","slope","Slope 45° 2 x 4","3137c01#2","3137c01","wheel_holder","Brick Special 2 x 2 [Red Wheels for Single Tyre]","stack"
"3037#1","3037","slope","Slope 45° 2 x 4","3024#1","3024","plate","Plate 1 x 1","touch"
"3037#1","3037","slope","Slope 45° 2 x 4","3024#2","3024","plate","Plate 1 x 1","touch"
"3032#1","3032","plate","Plate 4 x 6","3001#1","3001","brick","Brick 2 x 4","stack"
"3032#1","3032","plate","Plate 4 x 6","3002#1","3002","brick","Brick 2 x 3","stack"
"3032#1","3032","plate","Plate 4 x 6","3002#2","3002","brick","Brick 2 x 3","stack"
"3032#1","3032","plate","Plate 4 x 6","3137c01#2","3137c01","wheel_holder","Brick Special 2 x 2 [Red Wheels for Single Tyre]","stack"
"3032#1","3032","plate","Plate 4 x 6","3024#1","3024","plate","Plate 1 x 1","touch"
"3032#1","3032","plate","Plate 4 x 6","3024#2","3024","plate","Plate 1 x 1","touch"
"3010p20b#1","3010p20b","brick","Brick 1 x 4","3137c01#1","3137c01","wheel_holder","Brick Special 2 x 2 [Red Wheels for Single Tyre]","touch"
"3001#1","3001","brick","Brick 2 x 4","3137c01#2","3137c01","wheel_holder","Brick Special 2 x 2 [Red Wheels for Single Tyre]","touch"
"3002#1","3002","brick","Brick 2 x 3","3002#2","3002","brick","Brick 2 x 3","touch"
"3002#1","3002","brick","Brick 2 x 3","3024#2","3024","plate","Plate 1 x 1","stack"
