,3030#1,3010p0d#1,3001#1,3001#2,3023#1,3023#2,3021#1,3021#2,3020#1,3024#1,3024#2,3137c01#1,3139#1,3139#2,451#1,451#2,451#3,451#4,3135c01#1,3137c02#1,3137c02#2
3030#1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
3010p0d#1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3001#1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
3001#2,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
3023#1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3023#2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3021#1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3021#2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3020#1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
3024#1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3024#2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3137c01#1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
3139#1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3139#2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
451#1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
451#2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
451#3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
451#4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3135c01#1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3137c02#1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
3137c02#2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
