"part_A","num_A","fam_A","name_A","part_B","num_B","fam_B","name_B","criterion"
"3034#1","3034","plate","Plate 2 x 8","3004#3","3004","brick","Brick 1 x 2","stack"
"3034#1","3034","plate","Plate 2 x 8","3665a#1","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","stack"
"3034#1","3034","plate","Plate 2 x 8","3665a#2","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","stack"
"3034#1","3034","plate","Plate 2 x 8","3021#1","3021","plate","Plate 2 x 3","touch"
"3034#1","3034","plate","Plate 2 x 8","3700#1","3700","technic","Technic Brick 1 x 2 [1 Pin Hole]","touch"
"3034#1","3034","plate","Plate 2 x 8","3700#2","3700","technic","Technic Brick 1 x 2 [1 Pin Hole]","touch"
"3034#1","3034","plate","Plate 2 x 8","3705#1","3705","technic","Technic Axle 4","touch"
"3034#1","3034","plate","Plate 2 x 8","3020#1","3020","plate","Plate 2 x 4","stack"
"3034#1","3034","plate","Plate 2 x 8","3023#1","3023","plate","Plate 1 x 2","stack"
"3034#1","3034","plate","Plate 2 x 8","3023#2","3023","plate","Plate 1 x 2","stack"
"3034#1","3034","plate","Plate 2 x 8","3829a#1","3829a","other","Sticker Sheet for Set 163-1","touch"
"3004#1","3004","brick","Brick 1 x 2","3700#1","3700","technic","Technic Brick 1 x 2 [1 Pin Hole]","touch"
"3004#1","3004","brick","Brick 1 x 2","3700#2","3700","technic","Technic Brick 1 x 2 [1 Pin Hole]","touch"
"3004#1","3004","brick","Brick 1 x 2","3705#1","3705","technic","Technic Axle 4","stack"
"3004#2","3004","brick","Brick 1 x 2","3004#3","3004","brick","Brick 1 x 2","touch"
"3004#2","3004","brick","Brick 1 x 2","3317#1","3317","minifig","Brick Special 1 x 2 with Digger Bucket Arm Holder","touch"
"3004#2","3004","brick","Brick 1 x 2","3137#1","3137","other","3137","stack"
"3004#2","3004","brick","Brick 1 x 2","3020#1","3020","plate","Plate 2 x 4","touch"
"3004#2","3004","brick","Brick 1 x 2","3314#1","3314","minifig","Construction Vehicle Bucket Arm, Small - 2 x 6 x 2","touch"
"3004#2","3004","brick","Brick 1 x 2","3062a#1","3062a","cone","Brick Round 1 x 1 Solid Stud","touch"
"3004#3","3004","brick","Brick 1 x 2","3317#1","3317","minifig","Brick Special 1 x 2 with Digger Bucket Arm Holder","touch"
"3004#3","3004","brick","Brick 1 x 2","3665a#1","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","touch"
"3004#3","3004","brick","Brick 1 x 2","3665a#2","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","touch"
"3004#3","3004","brick","Brick 1 x 2","3137#1","3137","other","3137","stack"
"3004#3","3004","brick","Brick 1 x 2","3021#1","3021","plate","Plate 2 x 3","stack"
"3004#3","3004","brick","Brick 1 x 2","3020#1","3020","plate","Plate 2 x 4","touch"
"3004#3","3004","brick","Brick 1 x 2","3023#1","3023","plate","Plate 1 x 2","touch"
"3004#3","3004","brick","Brick 1 x 2","3023#2","3023","plate","Plate 1 x 2","touch"
"3004#3","3004","brick","Brick 1 x 2","3829a#1","3829a","other","Sticker Sheet for Set 163-1","touch"
"3004#3","3004","brick","Brick 1 x 2","3314#1","3314","minifig","Construction Vehicle Bucket Arm, Small - 2 x 6 x 2","touch"
"3004#3","3004","brick","Brick 1 x 2","3062a#1","3062a","cone","Brick Round 1 x 1 Solid Stud","touch"
"3317#1","3317","minifig","Brick Special 1 x 2 with Digger Bucket Arm Holder","3665a#1","3665a","slope","Slope Inverted 45° 2 x 1 [Old Type with Small Stud Hole]","touch"
