"part_A","num_A","fam_A","name_A","part_B","num_B","fam_B","name_B","criterion"
"3034#1","3034","plate","Plate 2 x 8","3021#1","3021","plate","Plate 2 x 3","touch"
"3034#1","3034","plate","Plate 2 x 8","3034#2","3034","plate","Plate 2 x 8","stack"
"3034#1","3034","plate","Plate 2 x 8","3021#2","3021","plate","Plate 2 x 3","touch"
"3034#1","3034","plate","Plate 2 x 8","3021#3","3021","plate","Plate 2 x 3","touch"
"3034#1","3034","plate","Plate 2 x 8","122c01#2","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","touch"
"3034#1","3034","plate","Plate 2 x 8","004324b#1","004324b","other","004324b","touch"
"3034#1","3034","plate","Plate 2 x 8","004324b#2","004324b","other","004324b","touch"
"3034#1","3034","plate","Plate 2 x 8","3820#1","3820","minifig","Minifig Hand","touch"
"3787#1","3787","wheel","Wheel Arch, Mudguard 2 x 4 [Smooth]","122c01#1","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","tyre-hub"
"3787#1","3787","wheel","Wheel Arch, Mudguard 2 x 4 [Smooth]","3641#1","3641","tyre","Tyre 15 x 6 Offset Tread Small","tyre-hub"
"3787#1","3787","wheel","Wheel Arch, Mudguard 2 x 4 [Smooth]","3641#2","3641","tyre","Tyre 15 x 6 Offset Tread Small","tyre-hub"
"3787#2","3787","wheel","Wheel Arch, Mudguard 2 x 4 [Smooth]","122c01#2","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","tyre-hub"
"3787#2","3787","wheel","Wheel Arch, Mudguard 2 x 4 [Smooth]","3641#3","3641","tyre","Tyre 15 x 6 Offset Tread Small","tyre-hub"
"3787#2","3787","wheel","Wheel Arch, Mudguard 2 x 4 [Smooth]","3641#4","3641","tyre","Tyre 15 x 6 Offset Tread Small","tyre-hub"
"3023#1","3023","plate","Plate 1 x 2","122c01#2","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","stack"
"3023#1","3023","plate","Plate 1 x 2","3004#1","3004","brick","Brick 1 x 2","stack"
"3023#1","3023","plate","Plate 1 x 2","3039#2","3039","slope","Slope 45° 2 x 2","stack"
"3021#1","3021","plate","Plate 2 x 3","3034#2","3034","plate","Plate 2 x 8","touch"
"3021#1","3021","plate","Plate 2 x 3","3021#2","3021","plate","Plate 2 x 3","stack"
"3021#1","3021","plate","Plate 2 x 3","3021#3","3021","plate","Plate 2 x 3","stack"
"3021#1","3021","plate","Plate 2 x 3","3039#1","3039","slope","Slope 45° 2 x 2","stack"
"3021#1","3021","plate","Plate 2 x 3","3004#1","3004","brick","Brick 1 x 2","stack"
"3021#1","3021","plate","Plate 2 x 3","004324b#1","004324b","other","004324b","touch"
"3021#1","3021","plate","Plate 2 x 3","004324b#2","004324b","other","004324b","touch"
"3034#2","3034","plate","Plate 2 x 8","3021#2","3021","plate","Plate 2 x 3","stack"
"3034#2","3034","plate","Plate 2 x 8","3021#3","3021","plate","Plate 2 x 3","stack"
"3034#2","3034","plate","Plate 2 x 8","122c01#2","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","stack"
"3034#2","3034","plate","Plate 2 x 8","3039#1","3039","slope","Slope 45° 2 x 2","stack"
"3034#2","3034","plate","Plate 2 x 8","3004#1","3004","brick","Brick 1 x 2","stack"
"3034#2","3034","plate","Plate 2 x 8","3021#4","3021","plate","Plate 2 x 3","stack"
"3034#2","3034","plate","Plate 2 x 8","004324b#1","004324b","other","004324b","stack"
"3034#2","3034","plate","Plate 2 x 8","004324b#2","004324b","other","004324b","stack"
"3034#2","3034","plate","Plate 2 x 8","3820#1","3820","minifig","Minifig Hand","touch"
"3021#2","3021","plate","Plate 2 x 3","3021#3","3021","plate","Plate 2 x 3","touch"
"3021#2","3021","plate","Plate 2 x 3","004324b#1","004324b","other","004324b","touch"
"3021#3","3021","plate","Plate 2 x 3","004324b#2","004324b","other","004324b","touch"
"122c01#1","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","3641#1","3641","tyre","Tyre 15 x 6 Offset Tread Small","tyre-hub"
"122c01#1","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","3641#2","3641","tyre","Tyre 15 x 6 Offset Tread Small","tyre-hub"
"122c01#2","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","3641#3","3641","tyre","Tyre 15 x 6 Offset Tread Small","tyre-hub"
"122c01#2","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","3641#4","3641","tyre","Tyre 15 x 6 Offset Tread Small","tyre-hub"
"3039#1","3039","slope","Slope 45° 2 x 2","3004#1","3004","brick","Brick 1 x 2","touch"
"3039#1","3039","slope","Slope 45° 2 x 2","3039#2","3039","slope","Slope 45° 2 x 2","touch"
"3039#1","3039","slope","Slope 45° 2 x 2","3021#4","3021","plate","Plate 2 x 3","touch"
"3039#1","3039","slope","Slope 45° 2 x 2","3062a#1","3062a","cone","Brick Round 1 x 1 Solid Stud","stack"
"3004#1","3004","brick","Brick 1 x 2","3039#2","3039","slope","Slope 45° 2 x 2","touch"
"3004#1","3004","brick","Brick 1 x 2","3021#4","3021","plate","Plate 2 x 3","touch"
"3004#1","3004","brick","Brick 1 x 2","3062a#1","3062a","cone","Brick Round 1 x 1 Solid Stud","stack"
"3039#2","3039","slope","Slope 45° 2 x 2","3021#4","3021","plate","Plate 2 x 3","touch"
"3039#2","3039","slope","Slope 45° 2 x 2","3062a#1","3062a","cone","Brick Round 1 x 1 Solid Stud","stack"
"3021#4","3021","plate","Plate 2 x 3","3062a#1","3062a","cone","Brick Round 1 x 1 Solid Stud","stack"
"3815c01#1","3815c01","other","3815c01","973d03#1","973d03","other","973d03","stack"
"3815c01#1","3815c01","other","3815c01","3819#1","3819","other","3819","stack"
"3815c01#1","3815c01","other","3815c01","3818#1","3818","other","3818","stack"
"3815c01#1","3815c01","other","3815c01","3820#1","3820","minifig","Minifig Hand","touch"
"3815c01#1","3815c01","other","3815c01","3820#2","3820","minifig","Minifig Hand","touch"
"973d03#1","973d03","other","973d03","3819#1","3819","other","3819","touch"
"973d03#1","973d03","other","973d03","3818#1","3818","other","3818","touch"
"973d03#1","973d03","other","973d03","3820#1","3820","minifig","Minifig Hand","stack"
"973d03#1","973d03","other","973d03","3820#2","3820","minifig","Minifig Hand","stack"
"973d03#1","973d03","other","973d03","3626ap01#1","3626ap01","minifig","Minifig Head [Plain] [Solid Stud]","stack"
"973d03#1","973d03","other","973d03","3624#1","3624","minifig","Cap, Police Style","stack"
"3819#1","3819","other","3819","3820#2","3820","minifig","Minifig Hand","stack"
"3818#1","3818","other","3818","3820#1","3820","minifig","Minifig Hand","stack"
"3626ap01#1","3626ap01","minifig","Minifig Head [Plain] [Solid Stud]","3624#1","3624","minifig","Cap, Police Style","touch"
