"part_A","num_A","fam_A","name_A","part_B","num_B","fam_B","name_B","criterion"
"3022#1","3022","plate","Plate 2 x 2","30237#1","30237","other","30237","stack"
"3022#1","3022","plate","Plate 2 x 2","3849#1","3849","minifig","Weapon Lance","touch"
"30237#1","30237","other","30237","3849#1","3849","minifig","Weapon Lance","touch"
"4495a#1","4495a","other","Flag 4 x 1 Wavy [First Wave Left]","4495a#2","4495a","other","Flag 4 x 1 Wavy [First Wave Left]","stack"
"4282#1","4282","plate","Plate 2 x 16","3001#3","3001","brick","Brick 2 x 4","stack"
"4282#1","4282","plate","Plate 2 x 16","4282#2","4282","plate","Plate 2 x 16","stack"
"4282#1","4282","plate","Plate 2 x 16","3673#1","3673","technic","Technic Pin without Friction Ridges Lengthwise","touch"
"4282#1","4282","plate","Plate 2 x 16","3941#3","3941","technic","Brick Round 2 x 2 with Axle Hole","touch"
"4282#1","4282","plate","Plate 2 x 16","3673#2","3673","technic","Technic Pin without Friction Ridges Lengthwise","touch"
"4282#1","4282","plate","Plate 2 x 16","3941#6","3941","technic","Brick Round 2 x 2 with Axle Hole","touch"
"3034#1","3034","plate","Plate 2 x 8","3001#1","3001","brick","Brick 2 x 4","stack"
"3034#1","3034","plate","Plate 2 x 8","3034#2","3034","plate","Plate 2 x 8","stack"
"3001#1","3001","brick","Brick 2 x 4","3034#2","3034","plate","Plate 2 x 8","touch"
"3001#1","3001","brick","Brick 2 x 4","3020#1","3020","plate","Plate 2 x 4","touch"
"3001#1","3001","brick","Brick 2 x 4","4871#1","4871","slope","Slope Inverted 45° 4 x 2 Double with 2 x 2 Recessed","stack"
"3001#1","3001","brick","Brick 2 x 4","3020#2","3020","plate","Plate 2 x 4","touch"
"3001#1","3001","brick","Brick 2 x 4","4855#1","4855","slope","Wedge Sloped Inverted 4 x 4 Triple [2 Connections between Front Studs]","stack"
"3001#1","3001","brick","Brick 2 x 4","4855#2","4855","slope","Wedge Sloped Inverted 4 x 4 Triple [2 Connections between Front Studs]","stack"
"3001#1","3001","brick","Brick 2 x 4","3021#1","3021","plate","Plate 2 x 3","stack"
"3001#1","3001","brick","Brick 2 x 4","2412b#3","2412b","tile","Tile Special 1 x 2 Grille with Bottom Groove","stack"
"3001#1","3001","brick","Brick 2 x 4","3022#2","3022","plate","Plate 2 x 2","stack"
"3001#1","3001","brick","Brick 2 x 4","3623#1","3623","plate","Plate 1 x 3","stack"
"3001#1","3001","brick","Brick 2 x 4","3623#2","3623","plate","Plate 1 x 3","stack"
"3001#1","3001","brick","Brick 2 x 4","30357#1","30357","plate","Plate Round Corner 3 x 3","stack"
"3001#1","3001","brick","Brick 2 x 4","30357#2","30357","plate","Plate Round Corner 3 x 3","stack"
"3001#1","3001","brick","Brick 2 x 4","3003#1","3003","brick","Brick 2 x 2","stack"
"3001#1","3001","brick","Brick 2 x 4","3022#5","3022","plate","Plate 2 x 2","stack"
"3001#3","3001","brick","Brick 2 x 4","4282#2","4282","plate","Plate 2 x 16","touch"
"30359a#1","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","30359a#2","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","touch"
"30359a#1","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","2412b#1","2412b","tile","Tile Special 1 x 2 Grille with Bottom Groove","touch"
"30359a#1","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","3004#2","3004","brick","Brick 1 x 2","stack"
"30359a#1","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","4070#5","4070","brick","Brick Special 1 x 1 with Headlight","stack"
"30359a#1","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","4070#6","4070","brick","Brick Special 1 x 1 with Headlight","stack"
"30359a#1","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","4070#7","4070","brick","Brick Special 1 x 1 with Headlight","stack"
"30359a#1","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","4070#8","4070","brick","Brick Special 1 x 1 with Headlight","stack"
"30359a#1","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","30360#2","30360","cone","Cylinder 3 x 6 x 2 2/3 Horizontal Hollow Studs","touch"
"30359a#1","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","4865a#3","4865a","panel","Panel 1 x 2 x 1 [Square Corners]","touch"
"30359a#1","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","30383#5","30383","bracket","Hinge Plate 1 x 2 Locking with 1 Finger On Top","touch"
"30359a#1","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","30407#5","30407","bracket","Hinge Plate 1 x 8 Locking with Angled Side Extensions, Rounded Plate Underside, 9 Teeth","touch"
"30359a#2","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","2412b#1","2412b","tile","Tile Special 1 x 2 Grille with Bottom Groove","touch"
"30359a#2","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","3004#2","3004","brick","Brick 1 x 2","stack"
"30359a#2","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","4070#5","4070","brick","Brick Special 1 x 1 with Headlight","stack"
"30359a#2","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","4070#6","4070","brick","Brick Special 1 x 1 with Headlight","stack"
"30359a#2","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","4070#7","4070","brick","Brick Special 1 x 1 with Headlight","stack"
"30359a#2","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","4070#8","4070","brick","Brick Special 1 x 1 with Headlight","stack"
"30359a#2","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","30360#2","30360","cone","Cylinder 3 x 6 x 2 2/3 Horizontal Hollow Studs","touch"
"30359a#2","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","4865a#3","4865a","panel","Panel 1 x 2 x 1 [Square Corners]","touch"
"30359a#2","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","2555#2","2555","tile","Tile Special 1 x 1 with Clip and Straight Tips","touch"
"30359a#2","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","30383#5","30383","bracket","Hinge Plate 1 x 2 Locking with 1 Finger On Top","touch"
"30359a#2","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","30407#5","30407","bracket","Hinge Plate 1 x 8 Locking with Angled Side Extensions, Rounded Plate Underside, 9 Teeth","touch"
"30359a#2","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","4-4cyli#27","4-4cyli","other","4-4cyli","touch"
"30359a#2","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","4-4cyli#28","4-4cyli","other","4-4cyli","touch"
"30359a#2","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","4-4edge#5","4-4edge","other","4-4edge","touch"
"30359a#2","30359a","technic","Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","4-4edge#6","4-4edge","other","4-4edge","touch"
