category_a,category_b,self_loop
Animal / Creature Accessories,Animal / Creature Accessories,TRUE
Animal / Creature Accessories,Animal / Creature Body Parts,FALSE
Animal / Creature Accessories,Animals / Creatures,FALSE
Animal / Creature Accessories,"Bars, Ladders and Fences",FALSE
Animal / Creature Accessories,Baseplates,FALSE
Animal / Creature Accessories,"Belville, Scala and Fabuland",FALSE
Animal / Creature Accessories,Bricks,FALSE
Animal / Creature Accessories,Bricks Curved,FALSE
Animal / Creature Accessories,Bricks Round and Cones,FALSE
Animal / Creature Accessories,Bricks Sloped,FALSE
Animal / Creature Accessories,Bricks Special,FALSE
Animal / Creature Accessories,Bricks Wedged,FALSE
Animal / Creature Accessories,Clikits,FALSE
Animal / Creature Accessories,Containers,FALSE
Animal / Creature Accessories,"Duplo, Quatro and Primo",FALSE
Animal / Creature Accessories,Electronics,FALSE
Animal / Creature Accessories,Energy Effects,FALSE
Animal / Creature Accessories,"Flags, Banners and Signs",FALSE
Animal / Creature Accessories,Gear Parts,FALSE
Animal / Creature Accessories,HO Scale,FALSE
Animal / Creature Accessories,"Hinges, Arms and Turntables",FALSE
Animal / Creature Accessories,Large Buildable Figures,FALSE
Animal / Creature Accessories,Magnets and Holders,FALSE
Animal / Creature Accessories,Mechanical,FALSE
Animal / Creature Accessories,Minidoll Heads,FALSE
Animal / Creature Accessories,Minidoll Lower Body,FALSE
Animal / Creature Accessories,Minidoll Upper Body,FALSE
Animal / Creature Accessories,Minifig Accessories,FALSE
Animal / Creature Accessories,Minifig Heads,FALSE
Animal / Creature Accessories,Minifig Headwear,FALSE
Animal / Creature Accessories,Minifig Headwear Accessories,FALSE
Animal / Creature Accessories,Minifig Hipwear,FALSE
Animal / Creature Accessories,Minifig Lower Body,FALSE
Animal / Creature Accessories,Minifig Neckwear,FALSE
Animal / Creature Accessories,"Minifig Shields, Weapons, & Tools",FALSE
Animal / Creature Accessories,Minifig Upper Body,FALSE
Animal / Creature Accessories,Minifigs,FALSE
Animal / Creature Accessories,Modulex,FALSE
Animal / Creature Accessories,"Non-Buildable Figures (Duplo, Fabuland, etc)",FALSE
Animal / Creature Accessories,Non-System Parts,FALSE
Animal / Creature Accessories,Other,FALSE
Animal / Creature Accessories,Panels,FALSE
Animal / Creature Accessories,Pen & Watch,FALSE
Animal / Creature Accessories,Plants & Trees,FALSE
Animal / Creature Accessories,Plates,FALSE
Animal / Creature Accessories,Plates Angled,FALSE
Animal / Creature Accessories,Plates Round Curved and Dishes,FALSE
Animal / Creature Accessories,Plates Special,FALSE
Animal / Creature Accessories,Pneumatics,FALSE
Animal / Creature Accessories,Projectiles / Launchers,FALSE
Animal / Creature Accessories,Rock,FALSE
Animal / Creature Accessories,Stickers,FALSE
Animal / Creature Accessories,"String, Bands and Reels",FALSE
Animal / Creature Accessories,"Supports, Girders and Cranes",FALSE
Animal / Creature Accessories,Technic Axles,FALSE
Animal / Creature Accessories,Technic Beams,FALSE
Animal / Creature Accessories,Technic Beams Special,FALSE
Animal / Creature Accessories,Technic Bricks,FALSE
Animal / Creature Accessories,Technic Bushes,FALSE
Animal / Creature Accessories,Technic Connectors,FALSE
Animal / Creature Accessories,Technic Gears,FALSE
Animal / Creature Accessories,Technic Panels,FALSE
Animal / Creature Accessories,Technic Pins,FALSE
Animal / Creature Accessories,Technic Special,FALSE
Animal / Creature Accessories,"Technic Steering, Suspension and Engine",FALSE
Animal / Creature Accessories,Tiles,FALSE
Animal / Creature Accessories,Tiles Round and Curved,FALSE
Animal / Creature Accessories,Tiles Special,FALSE
Animal / Creature Accessories,Tools,FALSE
Animal / Creature Accessories,Transportation - Land,FALSE
Animal / Creature Accessories,Transportation - Sea and Air,FALSE
Animal / Creature Accessories,Tubes and Hoses,FALSE
Animal / Creature Accessories,Wheels and Tyres,FALSE
Animal / Creature Accessories,Windows and Doors,FALSE
Animal / Creature Accessories,Windscreens and Fuselage,FALSE
Animal / Creature Accessories,Znap,FALSE
Animal / Creature Body Parts,Animal / Creature Body Parts,TRUE
Animal / Creature Body Parts,Animals / Creatures,FALSE
Animal / Creature Body Parts,"Bars, Ladders and Fences",FALSE
Animal / Creature Body Parts,Baseplates,FALSE
Animal / Creature Body Parts,"Belville, Scala and Fabuland",FALSE
Animal / Creature Body Parts,Bricks,FALSE
Animal / Creature Body Parts,Bricks Curved,FALSE
Animal / Creature Body Parts,Bricks Round and Cones,FALSE
Animal / Creature Body Parts,Bricks Sloped,FALSE
Animal / Creature Body Parts,Bricks Special,FALSE
Animal / Creature Body Parts,Bricks Wedged,FALSE
Animal / Creature Body Parts,Clikits,FALSE
Animal / Creature Body Parts,Containers,FALSE
Animal / Creature Body Parts,"Duplo, Quatro and Primo",FALSE
Animal / Creature Body Parts,Electronics,FALSE
Animal / Creature Body Parts,Energy Effects,FALSE
Animal / Creature Body Parts,"Flags, Banners and Signs",FALSE
Animal / Creature Body Parts,Gear Parts,FALSE
Animal / Creature Body Parts,HO Scale,FALSE
Animal / Creature Body Parts,"Hinges, Arms and Turntables",FALSE
Animal / Creature Body Parts,Large Buildable Figures,FALSE
Animal / Creature Body Parts,Magnets and Holders,FALSE
Animal / Creature Body Parts,Mechanical,FALSE
