family_a,family_b,self_loop,n_parts_a,n_parts_b,potential_part_pairs
minifig,minifig,TRUE,26883,26883,361334403
minifig,other,FALSE,26883,10518,282755394
minifig,tile,FALSE,26883,6424,172696392
minifig,technic,FALSE,26883,5735,154174005
brick,minifig,FALSE,3599,26883,96751917
other,tile,FALSE,10518,6424,67567632
other,technic,FALSE,10518,5735,60320730
other,other,TRUE,10518,10518,55308903
minifig,slope,FALSE,26883,1747,46964601
minifig,panel,FALSE,26883,1646,44249418
brick,other,FALSE,3599,10518,37854282
technic,tile,FALSE,5735,6424,36841640
minifig,plate,FALSE,26883,928,24947424
brick,tile,FALSE,3599,6424,23119976
brick,technic,FALSE,3599,5735,20640265
tile,tile,TRUE,6424,6424,20630676
other,slope,FALSE,10518,1747,18374946
other,panel,FALSE,10518,1646,17312628
technic,technic,TRUE,5735,5735,16442245
bracket,minifig,FALSE,589,26883,15834087
cone,minifig,FALSE,462,26883,12419946
minifig,wheel,FALSE,26883,453,12177999
minifig,tyre,FALSE,26883,433,11640339
slope,tile,FALSE,1747,6424,11222728
panel,tile,FALSE,1646,6424,10573904
slope,technic,FALSE,1747,5735,10019045
other,plate,FALSE,10518,928,9760704
panel,technic,FALSE,1646,5735,9439810
minifig,round,FALSE,26883,342,9193986
baseplate,minifig,FALSE,275,26883,7392825
brick,brick,TRUE,3599,3599,6474601
brick,slope,FALSE,3599,1747,6287453
bracket,other,FALSE,589,10518,6195102
plate,tile,FALSE,928,6424,5961472
brick,panel,FALSE,3599,1646,5923954
plate,technic,FALSE,928,5735,5322080
cone,other,FALSE,462,10518,4859316
other,wheel,FALSE,10518,453,4764654
other,tyre,FALSE,10518,433,4554294
bracket,tile,FALSE,589,6424,3783736
other,round,FALSE,10518,342,3597156
bracket,technic,FALSE,589,5735,3377915
brick,plate,FALSE,3599,928,3339872
cone,tile,FALSE,462,6424,2967888
baseplate,other,FALSE,275,10518,2892450
panel,slope,FALSE,1646,1747,2875562
cone,technic,FALSE,462,5735,2649570
technic,wheel,FALSE,5735,453,2597955
technic,tyre,FALSE,5735,433,2483255
minifig,wheel_holder,FALSE,26883,91,2446353
round,tile,FALSE,342,6424,2197008
bracket,brick,FALSE,589,3599,2119811
round,technic,FALSE,342,5735,1961370
baseplate,tile,FALSE,275,6424,1766600
brick,cone,FALSE,3599,462,1662738
plate,slope,FALSE,928,1747,1621216
baseplate,technic,FALSE,275,5735,1577125
panel,plate,FALSE,1646,928,1527488
slope,slope,TRUE,1747,1747,1525131
panel,panel,TRUE,1646,1646,1353835
brick,round,FALSE,3599,342,1230858
bracket,slope,FALSE,589,1747,1028983
baseplate,brick,FALSE,275,3599,989725
bracket,panel,FALSE,589,1646,969494
other,wheel_holder,FALSE,10518,91,957138
cone,slope,FALSE,462,1747,807114
cone,panel,FALSE,462,1646,760452
round,slope,FALSE,342,1747,597474
tile,wheel_holder,FALSE,6424,91,584584
panel,round,FALSE,1646,342,562932
bracket,plate,FALSE,589,928,546592
technic,wheel_holder,FALSE,5735,91,521885
baseplate,slope,FALSE,275,1747,480425
baseplate,panel,FALSE,275,1646,452650
plate,plate,TRUE,928,928,430128
cone,plate,FALSE,462,928,428736
brick,wheel_holder,FALSE,3599,91,327509
plate,round,FALSE,928,342,317376
bracket,cone,FALSE,589,462,272118
baseplate,plate,FALSE,275,928,255200
bracket,round,FALSE,589,342,201438
tyre,wheel,FALSE,433,453,196149
bracket,bracket,TRUE,589,589,173166
baseplate,bracket,FALSE,275,589,161975
slope,wheel_holder,FALSE,1747,91,158977
cone,round,FALSE,462,342,158004
panel,wheel_holder,FALSE,1646,91,149786
baseplate,cone,FALSE,275,462,127050
cone,cone,TRUE,462,462,106491
wheel,wheel,TRUE,453,453,102378
baseplate,round,FALSE,275,342,94050
plate,wheel_holder,FALSE,928,91,84448
round,round,TRUE,342,342,58311
bracket,wheel_holder,FALSE,589,91,53599
cone,wheel_holder,FALSE,462,91,42042
wheel,wheel_holder,FALSE,453,91,41223
tyre,wheel_holder,FALSE,433,91,39403
baseplate,baseplate,TRUE,275,275,37675
round,wheel_holder,FALSE,342,91,31122
baseplate,wheel_holder,FALSE,275,91,25025
wheel_holder,wheel_holder,TRUE,91,91,4095
