Connection_Family,Connection_Type,Connector_Role_A,Connector_Role_B,Legal_Status
Stud,Stud_to_AntistudTube,stud,antistud_tube,legal
Stud,Stud_to_OpenStud,stud,open_stud,legal
Stud,Stud_to_SocketPlate,stud,socket_plate,legal
Technic_Pin,Pin_to_Hole_Friction,pin_friction,technic_hole,legal
Technic_Pin,Pin_to_Hole_Free,pin_free,technic_hole,legal
Technic_Pin,Pin_to_Axle_Combo,combo_pin,axle_hole_or_technic_hole,legal
Technic_Axle,Axle_to_Axle_Hole,axle,axle_hole,legal
Technic_Axle,Axle_to_Axle_Connector,axle,axle_connector,legal
Technic_Beam,Beam_to_Beam_Stud,beam_hole,beam_hole,legal
Clip,Clip_to_Bar,clip,bar,legal
Clip,Axle_to_Bar,axle_tip,bar_holder,legal
Hinge,Hinge_Plate_to_Hinge_Plate,hinge_female,hinge_male,legal
Hinge,Hinge_Brick_to_Hinge_Brick,hinge_female,hinge_male,legal
Ball_Socket,Ball_to_Socket,ball,socket,legal
Tube,Tube_to_Stud,tube_female,stud,legal
Gear,Gear_to_Gear,gear,gear,legal
Gear,Gear_to_Rack,gear,rack,legal
Rail,Rail_to_Wheel,rail,wheel_flange,legal
Magnetic,Magnet_to_Magnet,magnet_north,magnet_south,legal
Sticker,Sticker_to_Tile,sticker,tile_surface,cosmetic
