,antistud_tube,axle,axle_connector,axle_hole,axle_hole_or_technic_hole,axle_tip,ball,bar,bar_holder,beam_hole,clip,combo_pin,gear,hinge_female,hinge_male,magnet_north,magnet_south,open_stud,pin_free,pin_friction,rack,rail,socket,socket_plate,sticker,stud,technic_hole,tile_surface,tube_female,wheel_flange
antistud_tube,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,,
axle,,,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,
axle_connector,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,
axle_hole,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,
axle_hole_or_technic_hole,,,,,,,,,,,,L,,,,,,,,,,,,,,,,,,
axle_tip,,,,,,,,,L,,,,,,,,,,,,,,,,,,,,,
ball,,,,,,,,,,,,,,,,,,,,,,,L,,,,,,,
bar,,,,,,,,,,,L,,,,,,,,,,,,,,,,,,,
bar_holder,,,,,,L,,,,,,,,,,,,,,,,,,,,,,,,
beam_hole,,,,,,,,,,L,,,,,,,,,,,,,,,,,,,,
clip,,,,,,,,L,,,,,,,,,,,,,,,,,,,,,,
combo_pin,,,,,L,,,,,,,,,,,,,,,,,,,,,,,,,
gear,,,,,,,,,,,,,L,,,,,,,,L,,,,,,,,,
hinge_female,,,,,,,,,,,,,,,L,,,,,,,,,,,,,,,
hinge_male,,,,,,,,,,,,,,L,,,,,,,,,,,,,,,,
magnet_north,,,,,,,,,,,,,,,,,L,,,,,,,,,,,,,
magnet_south,,,,,,,,,,,,,,,,L,,,,,,,,,,,,,,
open_stud,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,,
pin_free,,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,
pin_friction,,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,
rack,,,,,,,,,,,,,L,,,,,,,,,,,,,,,,,
rail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L
socket,,,,,,,L,,,,,,,,,,,,,,,,,,,,,,,
socket_plate,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,,
sticker,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,
stud,L,,,,,,,,,,,,,,,,,L,,,,,,L,,,,,L,
technic_hole,,,,,,,,,,,,,,,,,,,L,L,,,,,,,,,,
tile_surface,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,
tube_female,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,,
wheel_flange,,,,,,,,,,,,,,,,,,,,,,L,,,,,,,,
