SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"2000431-1",4548111,4,"Black","Duplo: Rubbers And Strings",58498,"Fire Hose With Handle 194/26","http://cache.lego.com/media/bricks/5/1/4548111.jpg",40
"2000431-1",4622359,8,"Black","Duplo: Rubbers And Strings",42030,"Duplo Knob With Arms","http://cache.lego.com/media/bricks/5/1/4622359.jpg",9
"2000431-1",6037390,60,"Black","System: Bricks",93888,"Brick 2X8","http://cache.lego.com/media/bricks/5/1/6037390.jpg",31
"2000431-1",370026,30,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3700,"Technic Brick 1X2, Ø4.9","http://cache.lego.com/media/bricks/5/1/370026.jpg",303
"2000431-1",4218890,40,"Black","System: Bricks, With Slope",3046,"Corner Brick 2X2/45° Inside","http://cache.lego.com/media/bricks/5/1/4218890.jpg",14
"2000431-1",4620385,6,"Black","System: Fences And Ladders",95229,"Lattice Ø3.18 3X8M","http://cache.lego.com/media/bricks/5/1/4620385.jpg",12
"2000431-1",368026,12,"Black","System: Functional Elements",3680,"Turn Plate 2X2, Lower Part","http://cache.lego.com/media/bricks/5/1/368026.jpg",191
"2000431-1",393826,6,"Black","System: Functional Elements",3938,"Plate 1X2 (Rocking)","http://cache.lego.com/media/bricks/5/1/393826.jpg",168
"2000431-1",9339,10,"Black","System: Mini Figure",73200,"Mini Body Lower Part Black","http://cache.lego.com/media/bricks/5/1/9339.jpg",646
"2000431-1",303026,40,"Black","System: Plates",3030,"Plate 4X10","http://cache.lego.com/media/bricks/5/1/303026.jpg",105
"2000431-1",383226,10,"Black","System: Plates",3832,"Plate 2X10","http://cache.lego.com/media/bricks/5/1/383226.jpg",237
"2000431-1",4514845,10,"Black","System: Plates",60479,"Plate 1X12","http://cache.lego.com/media/bricks/5/1/4514845.jpg",80
"2000431-1",373826,6,"Black","System: Plates, Special",3738,"Plate 2X8 W. Holes","http://cache.lego.com/media/bricks/5/1/373826.jpg",89
"2000431-1",6074034,30,"Black","System: Rubbers And Strings",14224,"String 40 M W. 2 Knobs","http://cache.lego.com/media/bricks/5/1/6074034.jpg",8
"2000431-1",6096957,30,"Black","System: Rubbers And Strings",14224,"String 40 M W. 2 Knobs","http://cache.lego.com/media/bricks/5/1/6096957.jpg",10
"2000431-1",370526,6,"Black","Technic: Connectors",3705,"Cross Axle 4M","http://cache.lego.com/media/bricks/5/1/370526.jpg",903
"2000431-1",370626,10,"Black","Technic: Connectors",3706,"Cross Axle 6M","http://cache.lego.com/media/bricks/5/1/370626.jpg",707
