# Isogawa-Mindstorms Idea Book-#158
# 20190412
BLItemNo	ElementId	LdrawId	PartName	BLColorId	LDrawColorId	ColorName	ColorCategory	Qty	Weight
2780	4121715	2780	Technic, Pin with Friction Ridges Lengthwise WITH Center Slots	11	0	Black	Solid Colors	2	0.16
32013	4254606	32013	Technic, Axle and Pin Connector Angled #1	5	4	Red	Solid Colors	4	0.46
32034	4234429	32034	Technic, Axle and Pin Connector Angled #2 - 180 degrees	5	4	Red	Solid Colors	2	0.68
32062	4142865	32062	Technic, Axle 2 Notched	5	4	Red	Solid Colors	6	0.26
32073	4141482	32073	Technic, Axle 5	9	7	Light Gray	Solid Colors	3	0.66
4265c	6271167	4265c	Technic Bush 1/2 Smooth	3	14	Yellow	Solid Colors	6	0.1
32138	4207743	32138	Technic, Pin Double with Axle Hole	9	7	Light Gray	Solid Colors	2	0.96
32140	6271825	32140	Technic, Liftarm 2 x 4 L-Shape Thick	11	0	Black	Solid Colors	2	1.43
32192	6262898	32192	Technic, Axle and Pin Connector Angled #4 - 135 degrees	5	4	Red	Solid Colors	2	0.601
32498	4255563	32498	Technic, Gear 36 Tooth Double Bevel	11	0	Black	Solid Colors	4	3.5
3706	370626	3706	Technic, Axle 6	11	0	Black	Solid Colors	2	0.94
3713	4227155	3713	Technic Bush	5	4	Red	Solid Colors	4	0.14
41239	4522933	41239	Technic, Liftarm 1 x 13 Thick	11	0	Black	Solid Colors	1	3.3
x346	4185661	x346	Bionicle 1 x 3 Tooth with Axle Hole	5	4	Red	Solid Colors	4	0.54
4519	4186007	4519	Technic, Axle 3	9	7	Light Gray	Solid Colors	1	0.43
6538c	4513174	6538c	Technic, Axle Connector 2L (Smooth with x Hole + Orientation)	5	4	Red	Solid Colors	2	0.4
95658		95658	Electric, Motor - EV3, Large	1	15	White	Solid Colors	1	80.7
