"4733","6141","12.3","6","Brick Special 1 x 1 Studs on 4 Sides","2","Black"
"4733","3673","12.2","2","Brick Special 1 x 1 Studs on 4 Sides","2","Black"
"3710","13349","1.4","1","Plate 1 x 4","1","Blue"
"47457","3023","1.5","1","Brick Curved 2 x 2 x 2/3 Two Studs and Curved Slope End","1","Blue"
"3022","47457","1.5","1","Plate 2 x 2","1","Blue"
"3022","13349","1.4","1","Plate 2 x 2","1","Blue"
"6141","17485","2","4","Plate Round 1 x 1 with Solid Stud","1","Dark Bluish Gray"
"13349","3023","1.1","1","Wedge Sloped Inverted 4 x 4 Triple [4 Connections between Front Studs]","1","Dark Bluish Gray"
"18674","17485","6","2","Plate Special Round 2 x 2 with Center Stud (Jumper Plate)","2","Dark Bluish Gray"
"4032a","18649","4","2","Plate Round 2 x 2 with Axle Hole Type 1 (+ Opening)","2","Dark Orange"
"4032a","6141","4","4","Plate Round 2 x 2 with Axle Hole Type 1 (+ Opening)","2","Dark Orange"
"3623","15712","10","2","Plate 1 x 3","1","Light Bluish Gray"
"3673","42610","12.1","2","Technic Pin without Friction Ridges Lengthwise","1","Light Bluish Gray"
"15573","6141","1.6","1","Plate Special 1 x 2 with 1 Stud with Groove and Inside Stud Holder (Jumper)","1","Light Bluish Gray"
"15573","3710","1.6","1","Plate Special 1 x 2 with 1 Stud with Groove and Inside Stud Holder (Jumper)","1","Light Bluish Gray"
"3673","17485","5","4","Technic Pin without Friction Ridges Lengthwise","1","Light Bluish Gray"
"3673","30374","7","2","Technic Pin without Friction Ridges Lengthwise","4","Light Bluish Gray"
"48336","13349","1.3","2","Plate Special 1 x 2 [Side Handle Closed Ends]","2","Light Bluish Gray"
"17485","4032a","5","2","Brick Round 2 x 2 with Pin Holes","4","Light Bluish Gray"
"17485","4733","13","2","Brick Round 2 x 2 with Pin Holes","4","Light Bluish Gray"
"18649","17485","3","2","Plate Special 1 x 2 with Handles on Ends","2","Light Bluish Gray"
"32064a","13349","1.2","1","Technic Brick 1 x 2 with Axle Hole Type 1 [+ Opening] and Bottom Pin","1","Light Bluish Gray"
"15712","30374","10","2","Tile Special 1 x 1 with Clip with Rounded Edges","2","Light Bluish Gray"
"15712","3623","10","2","Tile Special 1 x 1 with Clip with Rounded Edges","2","Light Bluish Gray"
"59900","18674","6","2","Cone 1 x 1 [Top Groove]","2","Metallic Silver"
"3023","3023","1.1","1","Plate 1 x 2","2","Red"
"99784","3623","11","1","Bar 1 x 12 with 1 x 2 Plate End with Hollow Studs and 1 x 1 Round Plate End","1","Trans-Clear"
"99784","32064a","12","1","Bar 1 x 12 with 1 x 2 Plate End with Hollow Studs and 1 x 1 Round Plate End","1","Trans-Clear"
"3065","13349","1.7","1","Brick 1 x 2 without Bottom Tube","1","Trans-Clear"
"30374","3673","7","2","Bar 4L (Lightsaber Blade / Wand)","2","Trans-Purple"
"2431","4733","14","6","Tile 1 x 4 with Groove","6","Yellow"
"61252","18649","8","2","Plate Special 1 x 1 with Clip Horizontal [Thick Open O Clip]","2","Yellow"
