part1,part2,w,step,num_parts
11211,3020,1,1,3
15573,11211,1,9,1
2420,3021,2,4,2
3004,30414,2,6,2
3010,11211,1,6,1
3020,3710,1,2,1
3020,3021,1,3,1
3020,30414,2,10,4
3021,3020,1,15,2
3022,3020,2,10,4
3022,3031,1,14,4
3023,3710,1,7,3
3031,3010,1,11,1
3031,3004,3,11,1
30414,3020,2,5,2
3710,3021,,3,3
3710,30414,2,5,3
49668,3020,2,13,4
59900,6141,1,12,1
6141,3710,2,7,2
98138pr0008,11211,2,9,2
2420,30414,2,5,2
3020,30414,2,5,1
11211,2420,2,5,3
3004,3010,2,6,2
3710,3710,1,7,3
3710,3710,1,7,3
3710,30414,2,8,3
11211,11211,1,8,3
3031,6141,2,11,1
15573,59900,1,12,1
2420,49668,2,13,2
3031,3023,1,14,1
3020,3031,1,14,4
3021,3022,1,15,2
