set_number,name,year,scale_type,total_pieces,distinct_parts
7131,Anakin's Podracer,1999,"System, minifig",134,50
7171,Mos Espa Podrace,1999,"System, minifig",842,182
7159,Podracer Bucket,2000,"System, minifig",292,102
7186,Watto's Junkyard,2001,"System, minifig",443,130
7962,Anakin Skywalker and Sebulba's Podracers,2011,"System, minifig",810,170
75258,Anakin's Podracer – 20th Anniversary Edition,2019,"System, minifig",279,99
4485,MINI Sebulba's Podracer & Anakin's Podracer,2003,Mini,72,28
30057,Anakin's Pod Racer (polybag),2012,Mini / polybag,38,19
9675,Sebulba's Podracer & Tatooine,2012,Micro / planet,80,68
75380,Mos Espa Podrace,2024,"System, minifig",719,178
6556842,Gasgano's Podracer,2024,"System, minifig",150,48
