part_num,color_id,quantity,is_spare,part_img_url
6141,1,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/614123.jpg
15712,72,4,FALSE,https://cdn.rebrickable.com/media/parts/elements/6071226.jpg
4070,71,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4211476.jpg
54200,71,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4244372.jpg
64567,71,4,FALSE,https://cdn.rebrickable.com/media/parts/elements/4539481.jpg
52107,4,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4569056.jpg
3070b,4,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/307021.jpg
54200,40,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4244368.jpg
3005,15,2,FALSE,https://cdn.rebrickable.com/media/parts/elements/300501.jpg
4733,15,1,FALSE,https://cdn.rebrickable.com/media/parts/elements/4111971.jpg
3794b,15,1,FALSE,https://cdn.rebrickable.com/media/parts/ldraw/15/3794b.png
3839b,15,4,FALSE,https://cdn.rebrickable.com/media/parts/elements/383901.jpg
